residencia_provincia_nombre,sepi_apertura,n,max_fecha_diagnostico,max_fecha_inicio_sintomas,count_fecha_diagnostico,confirmados,descartados,sospechosos,fallecidos,tests,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento,dias.inicio,confirmados.inc,confirmados.rate,fallecidos.inc,tests.inc,tests.rate,sospechosos.inc
Jujuy,29,7984,2020-10-01,2020-09-24,195,1310,5501,1172,64,6803,1,0.026,0.049,0.193,15,0.011,3,0.002,3,0.002,19.7,-15.9,6,23.1,18,NA,NA,NA,NA,NA,NA
Jujuy,30,10588,2020-10-01,2020-09-24,196,2335,6730,1522,104,9005,1,0.027,0.045,0.259,19,0.008,3,0.001,3,0.001,14.7,-10.2,6,19.9,19,NA,NA,NA,NA,NA,NA
Jujuy,31,13375,2020-10-01,2020-09-24,196,3417,7956,2001,144,11249,1,0.027,0.042,0.304,27,0.008,3,0.001,3,0.001,13,-6,6,19.1,20,NA,NA,NA,NA,NA,NA
Jujuy,32,16017,2020-10-01,2020-09-24,196,4487,9220,2309,209,13469,1,0.031,0.047,0.333,40,0.009,7,0.002,4,0.001,11.5,-3.2,6.7,17.9,21,NA,NA,NA,NA,NA,NA
Jujuy,33,19321,2020-10-01,2020-09-24,196,5694,10819,2806,259,16148,2,0.03,0.045,0.353,53,0.009,8,0.001,5,0.001,10.3,-1.4,5.9,17.8,22,NA,NA,NA,NA,NA,NA
Jujuy,34,22985,2020-10-01,2020-09-24,196,7294,12335,3354,343,19257,2,0.032,0.047,0.379,78,0.011,10,0.001,7,0.001,9.3,0.9,5.8,18.5,23,NA,NA,NA,NA,NA,NA
Jujuy,35,26169,2020-10-01,2020-09-25,196,9054,13571,3542,430,22242,2,0.034,0.047,0.407,94,0.01,11,0.001,7,0.001,8.4,1.7,6.1,17.9,24,NA,NA,NA,NA,NA,NA
Jujuy,36,29939,2020-10-01,2020-09-25,196,11144,15032,3761,496,25772,2,0.033,0.045,0.432,110,0.01,12,0.001,7,0.001,8.3,2.7,6.6,17.3,25,NA,NA,NA,NA,NA,NA
Jujuy,37,33318,2020-10-01,2020-09-30,196,12883,16501,3932,540,28962,2,0.032,0.042,0.445,129,0.01,13,0.001,7,0.001,8.2,3.1,6.1,16.7,26,NA,NA,NA,NA,NA,NA
Jujuy,38,36765,2020-10-01,2020-09-30,196,14329,18335,4099,551,32230,2,0.03,0.038,0.445,144,0.01,13,0.001,7,0,8.1,3.3,6.1,16.6,27,NA,NA,NA,NA,NA,NA
Jujuy,39,39280,2020-10-01,2020-09-30,196,15353,19690,4235,554,34586,2,0.028,0.036,0.444,150,0.01,15,0.001,9,0.001,8,3.3,5.8,16.6,28,NA,NA,NA,NA,NA,NA
Jujuy,40,40645,2020-10-01,2020-09-30,196,15791,20433,4419,554,35739,2,0.027,0.035,0.442,151,0.01,15,0.001,9,0.001,8,3.3,5.8,16.6,29,NA,NA,NA,NA,NA,NA
La Pampa,12,5,2020-03-24,2020-03-20,4,1,4,0,0,5,0,0,0,0.2,1,1,0,0,0,0,4,1,NaN,NaN,1,NA,NA,NA,NA,NA,NA
La Pampa,13,16,2020-03-31,2020-03-24,8,3,13,0,0,16,0,0,0,0.188,1,0.333,0,0,0,0,8.7,5.3,NaN,NaN,2,NA,NA,NA,NA,NA,NA
La Pampa,14,40,2020-04-08,2020-04-03,15,3,37,0,0,40,0,0,0,0.075,1,0.333,0,0,0,0,8.7,5.3,NaN,NaN,3,NA,NA,NA,NA,NA,NA
La Pampa,15,71,2020-04-11,2020-04-10,18,5,66,0,0,71,0,0,0,0.07,1,0.2,0,0,0,0,9,6.2,NaN,NaN,4,NA,NA,NA,NA,NA,NA
La Pampa,16,94,2020-04-20,2020-04-16,24,5,89,0,0,94,0,0,0,0.053,1,0.2,0,0,0,0,9,6.2,NaN,NaN,5,NA,NA,NA,NA,NA,NA
La Pampa,17,113,2020-04-27,2020-04-22,29,5,108,0,0,113,0,0,0,0.044,1,0.2,0,0,0,0,9,6.2,NaN,NaN,6,NA,NA,NA,NA,NA,NA
La Pampa,18,133,2020-05-02,2020-04-30,34,5,128,0,0,133,0,0,0,0.038,1,0.2,0,0,0,0,9,6.2,NaN,NaN,7,NA,NA,NA,NA,NA,NA
La Pampa,19,153,2020-06-17,2020-05-07,40,5,148,0,0,153,0,0,0,0.033,1,0.2,0,0,0,0,9,6.2,NaN,NaN,8,NA,NA,NA,NA,NA,NA
La Pampa,20,175,2020-06-17,2020-05-16,47,5,170,0,0,175,0,0,0,0.029,1,0.2,0,0,0,0,9,6.2,NaN,NaN,9,NA,NA,NA,NA,NA,NA
La Pampa,21,200,2020-06-17,2020-05-22,53,5,195,0,0,200,0,0,0,0.025,1,0.2,0,0,0,0,9,6.2,NaN,NaN,10,NA,NA,NA,NA,NA,NA
La Pampa,22,228,2020-06-17,2020-05-29,61,5,223,0,0,228,0,0,0,0.022,1,0.2,0,0,0,0,9,6.2,NaN,NaN,11,NA,NA,NA,NA,NA,NA
La Pampa,23,253,2020-06-17,2020-06-05,66,5,248,0,0,253,0,0,0,0.02,1,0.2,0,0,0,0,9,6.2,NaN,NaN,12,NA,NA,NA,NA,NA,NA
La Pampa,24,288,2020-06-24,2020-06-13,72,5,283,0,0,288,0,0,0,0.017,1,0.2,0,0,0,0,9,6.2,NaN,NaN,13,NA,NA,NA,NA,NA,NA
La Pampa,25,349,2020-09-18,2020-06-19,82,6,341,2,0,344,0,0,0,0.017,1,0.167,0,0,0,0,7.4,5.2,NaN,NaN,14,NA,NA,NA,NA,NA,NA
La Pampa,26,422,2020-09-18,2020-06-26,88,7,411,4,0,415,0,0,0,0.017,1,0.143,0,0,0,0,6.5,4.5,NaN,NaN,15,NA,NA,NA,NA,NA,NA
La Pampa,27,471,2020-09-18,2020-07-03,93,7,460,4,0,464,0,0,0,0.015,1,0.143,0,0,0,0,6.5,4.5,NaN,NaN,16,NA,NA,NA,NA,NA,NA
La Pampa,28,513,2020-09-18,2020-07-09,100,7,499,7,0,503,0,0,0,0.014,1,0.143,0,0,0,0,6.5,4.5,NaN,NaN,17,NA,NA,NA,NA,NA,NA
La Pampa,29,584,2020-09-18,2020-07-17,105,8,566,10,0,571,0,0,0,0.014,1,0.125,0,0,0,0,6.4,4.7,NaN,NaN,18,NA,NA,NA,NA,NA,NA
La Pampa,30,666,2020-09-18,2020-07-24,112,33,622,11,0,651,0,0,0,0.051,3,0.091,1,0.03,1,0.03,4.6,4.2,5,NaN,19,NA,NA,NA,NA,NA,NA
La Pampa,31,1104,2020-09-18,2020-08-02,123,158,932,14,0,1078,0,0,0,0.147,10,0.063,2,0.013,1,0.006,4.2,3.7,5.5,NaN,20,NA,NA,NA,NA,NA,NA
La Pampa,32,1726,2020-09-21,2020-08-11,133,177,1531,18,2,1690,0,0.01,0.011,0.105,15,0.085,3,0.017,1,0.006,4.2,3.8,9.7,38.5,21,NA,NA,NA,NA,NA,NA
La Pampa,33,2012,2020-09-21,2020-08-15,139,181,1805,26,2,1967,0,0.01,0.011,0.092,16,0.088,3,0.017,1,0.006,4.1,3.8,9.7,38.5,22,NA,NA,NA,NA,NA,NA
La Pampa,34,2231,2020-09-21,2020-08-22,145,190,2013,28,2,2182,0,0.009,0.011,0.087,16,0.084,3,0.016,1,0.005,4,3.7,9.7,38.5,23,NA,NA,NA,NA,NA,NA
La Pampa,35,2475,2020-09-21,2020-08-29,152,199,2240,36,2,2414,0,0.009,0.01,0.082,17,0.085,4,0.02,1,0.005,4,3.7,10.8,38.5,24,NA,NA,NA,NA,NA,NA
La Pampa,36,2782,2020-09-21,2020-09-05,160,230,2509,43,2,2702,0,0.007,0.009,0.085,20,0.087,5,0.022,1,0.004,4.1,3.8,9.8,38.5,25,NA,NA,NA,NA,NA,NA
La Pampa,37,3580,2020-09-29,2020-09-12,166,406,3124,50,4,3476,0,0.009,0.01,0.117,25,0.062,7,0.017,1,0.002,4,3.7,10.9,27.2,26,NA,NA,NA,NA,NA,NA
La Pampa,38,5083,2020-09-30,2020-09-19,175,560,4456,67,5,4926,0,0.008,0.009,0.114,26,0.046,7,0.013,1,0.002,4,3.6,10.9,23.8,27,NA,NA,NA,NA,NA,NA
La Pampa,39,6142,2020-10-01,2020-09-25,179,692,5369,81,5,5952,0,0.006,0.007,0.116,28,0.04,8,0.012,2,0.003,3.9,3.5,9.5,23.8,28,NA,NA,NA,NA,NA,NA
La Pampa,40,6817,2020-10-01,2020-09-30,179,783,5941,93,5,6610,0,0.006,0.006,0.118,29,0.037,8,0.01,2,0.003,4,3.7,9.5,23.8,29,NA,NA,NA,NA,NA,NA
La Rioja,13,24,2020-09-24,2020-03-23,9,3,17,4,1,20,0,0.143,0.333,0.15,2,0.667,1,0.333,1,0.333,69,5.3,2,10,3,NA,NA,NA,NA,NA,NA
La Rioja,14,68,2020-09-24,2020-07-06,21,14,50,4,2,64,0,0.111,0.143,0.219,4,0.286,2,0.143,1,0.071,49.8,5.8,18,22,4,NA,NA,NA,NA,NA,NA
La Rioja,15,146,2020-09-26,2020-07-06,32,28,114,4,3,142,0,0.094,0.107,0.197,5,0.179,2,0.071,1,0.036,33.9,5.4,18,19.7,5,NA,NA,NA,NA,NA,NA
La Rioja,16,244,2020-09-28,2020-08-14,43,52,186,6,5,238,0,0.086,0.096,0.218,7,0.135,3,0.058,1,0.019,36.7,3.3,12,14.4,6,NA,NA,NA,NA,NA,NA
La Rioja,17,442,2020-09-28,2020-08-14,60,77,359,6,7,436,0,0.084,0.091,0.177,9,0.117,4,0.052,1,0.013,42.4,5.1,9.8,13,7,NA,NA,NA,NA,NA,NA
La Rioja,18,627,2020-09-28,2020-08-14,70,93,526,8,7,619,0,0.069,0.075,0.15,9,0.097,4,0.043,1,0.011,46.1,3.5,9.8,13,8,NA,NA,NA,NA,NA,NA
La Rioja,19,817,2020-09-28,2020-08-14,84,128,680,9,8,808,0,0.058,0.062,0.158,10,0.078,4,0.031,1,0.008,49,3.2,9.8,24,9,NA,NA,NA,NA,NA,NA
La Rioja,20,893,2020-09-28,2020-08-14,92,129,754,10,8,883,0,0.058,0.062,0.146,11,0.085,4,0.031,1,0.008,48.4,3.2,9.8,24,10,NA,NA,NA,NA,NA,NA
La Rioja,21,1174,2020-09-28,2020-08-18,111,152,1001,20,9,1153,1,0.052,0.059,0.132,13,0.086,4,0.026,1,0.007,47.2,-2.6,9.8,21.9,11,NA,NA,NA,NA,NA,NA
La Rioja,22,1268,2020-09-28,2020-08-18,116,157,1090,20,10,1247,1,0.056,0.064,0.126,15,0.096,5,0.032,1,0.006,49.7,-2.4,7.8,31,12,NA,NA,NA,NA,NA,NA
La Rioja,23,1339,2020-09-28,2020-08-18,122,161,1156,21,10,1317,1,0.055,0.062,0.122,16,0.099,5,0.031,1,0.006,51.1,-2.2,7.8,31,13,NA,NA,NA,NA,NA,NA
La Rioja,24,1477,2020-09-28,2020-08-18,130,167,1287,22,10,1454,1,0.053,0.06,0.115,16,0.096,5,0.03,1,0.006,51.8,-2,7.8,31,14,NA,NA,NA,NA,NA,NA
La Rioja,25,1553,2020-09-28,2020-08-18,137,168,1362,22,11,1530,1,0.058,0.065,0.11,17,0.101,5,0.03,1,0.006,51.5,-2,7.8,31.3,15,NA,NA,NA,NA,NA,NA
La Rioja,26,1891,2020-09-29,2020-08-22,151,201,1664,25,13,1865,1,0.058,0.065,0.108,23,0.114,6,0.03,1,0.005,49.7,-2,6.5,30.4,16,NA,NA,NA,NA,NA,NA
La Rioja,27,2317,2020-09-29,2020-08-28,166,268,2020,28,19,2288,1,0.064,0.071,0.117,25,0.093,7,0.026,1,0.004,46.3,-2.6,6.3,25.2,17,NA,NA,NA,NA,NA,NA
La Rioja,28,2764,2020-09-29,2020-08-28,170,324,2404,35,23,2728,1,0.064,0.071,0.119,28,0.086,7,0.022,1,0.003,44,-2.4,6.3,24.9,18,NA,NA,NA,NA,NA,NA
La Rioja,29,3122,2020-09-29,2020-08-28,176,376,2702,43,27,3078,1,0.064,0.072,0.122,31,0.082,8,0.021,2,0.005,40.5,-2.1,6.1,24,19,NA,NA,NA,NA,NA,NA
La Rioja,30,3461,2020-09-29,2020-08-28,179,433,2980,47,31,3412,1,0.065,0.072,0.127,31,0.072,8,0.018,2,0.005,34.7,-0.8,6.1,21.1,20,NA,NA,NA,NA,NA,NA
La Rioja,31,3917,2020-09-29,2020-08-28,180,557,3308,51,32,3863,1,0.053,0.057,0.144,34,0.061,8,0.014,2,0.004,29.1,0.5,6.1,20.7,21,NA,NA,NA,NA,NA,NA
La Rioja,32,4599,2020-09-29,2020-08-28,184,738,3807,52,38,4543,2,0.048,0.051,0.162,34,0.046,8,0.011,2,0.003,27.3,0.7,6.1,19.7,22,NA,NA,NA,NA,NA,NA
La Rioja,33,5177,2020-09-29,2020-08-28,187,991,4128,56,54,5113,2,0.052,0.054,0.194,40,0.04,10,0.01,3,0.003,21.1,1.8,5.7,17.4,23,NA,NA,NA,NA,NA,NA
La Rioja,34,5871,2020-09-29,2020-08-28,189,1302,4509,58,69,5804,2,0.051,0.053,0.224,40,0.031,10,0.008,3,0.002,14.7,3.3,5.7,15.5,24,NA,NA,NA,NA,NA,NA
La Rioja,35,6585,2020-09-29,2020-09-15,189,1614,4907,62,87,6508,2,0.052,0.054,0.248,41,0.025,11,0.007,4,0.002,12.4,4.1,5.2,14.9,25,NA,NA,NA,NA,NA,NA
La Rioja,36,7832,2020-09-29,2020-09-15,189,2211,5549,70,104,7743,2,0.046,0.047,0.286,44,0.02,11,0.005,4,0.002,12.2,4.3,5.2,13.9,26,NA,NA,NA,NA,NA,NA
La Rioja,37,9630,2020-09-29,2020-09-15,189,2988,6561,79,117,9520,2,0.038,0.039,0.314,44,0.015,11,0.004,4,0.001,11.9,4.3,5.2,13.2,27,NA,NA,NA,NA,NA,NA
La Rioja,38,11376,2020-09-29,2020-09-15,189,3753,7525,96,126,11241,2,0.033,0.034,0.334,44,0.012,11,0.003,4,0.001,11.7,4.4,5.2,12.8,28,NA,NA,NA,NA,NA,NA
La Rioja,39,13011,2020-09-29,2020-09-25,189,4544,8345,120,126,12842,2,0.027,0.028,0.354,44,0.01,11,0.002,4,0.001,11.6,4.4,5.2,12.8,29,NA,NA,NA,NA,NA,NA
La Rioja,40,14053,2020-10-01,2020-09-29,191,4839,9056,156,126,13845,2,0.025,0.026,0.35,45,0.009,11,0.002,4,0.001,11.6,4.4,5.2,12.8,30,NA,NA,NA,NA,NA,NA
Mendoza,11,16,2020-09-07,2020-03-12,9,1,15,0,0,14,0,0,0,0.071,0,0,0,0,0,0,187,9,NaN,NaN,2,NA,NA,NA,NA,NA,NA
Mendoza,12,41,2020-09-07,2020-03-21,15,8,33,0,0,36,0,0,0,0.222,7,0.875,0,0,0,0,27.9,2.8,NaN,NaN,3,NA,NA,NA,NA,NA,NA
Mendoza,13,101,2020-09-12,2020-03-26,26,23,76,2,4,94,0,0.16,0.174,0.245,22,0.957,4,0.174,3,0.13,23.2,3.9,7.2,17.5,4,NA,NA,NA,NA,NA,NA
Mendoza,14,190,2020-09-12,2020-04-04,36,37,151,2,5,181,0,0.128,0.135,0.204,35,0.946,8,0.216,4,0.108,17.9,4.4,6.2,15.6,5,NA,NA,NA,NA,NA,NA
Mendoza,15,491,2020-09-27,2020-08-06,61,73,413,5,8,478,0,0.103,0.11,0.153,63,0.863,10,0.137,5,0.068,27.8,3.2,5.5,12.8,6,NA,NA,NA,NA,NA,NA
Mendoza,16,805,2020-09-27,2020-09-09,70,101,690,14,9,783,0,0.078,0.089,0.129,80,0.792,11,0.109,5,0.05,28.4,-3.6,5.5,13.3,7,NA,NA,NA,NA,NA,NA
Mendoza,17,1009,2020-09-27,2020-09-09,82,106,882,21,9,980,0,0.071,0.085,0.108,83,0.783,11,0.104,5,0.047,28.8,-3.2,5.5,13.3,8,NA,NA,NA,NA,NA,NA
Mendoza,18,1144,2020-09-27,2020-09-09,89,117,1001,26,9,1110,0,0.063,0.077,0.105,93,0.795,11,0.094,5,0.043,29.4,-2.4,5.5,13.3,9,NA,NA,NA,NA,NA,NA
Mendoza,19,1298,2020-09-27,2020-09-09,102,127,1141,30,9,1260,0,0.057,0.071,0.101,98,0.772,12,0.094,6,0.047,31,-3.3,5,13.3,10,NA,NA,NA,NA,NA,NA
Mendoza,20,1510,2020-09-27,2020-09-09,112,138,1337,35,9,1467,0,0.052,0.065,0.094,103,0.746,12,0.087,6,0.043,33.4,-3.6,5,13.3,11,NA,NA,NA,NA,NA,NA
Mendoza,21,1663,2020-09-29,2020-09-09,123,142,1480,41,10,1613,0,0.055,0.07,0.088,107,0.754,12,0.085,6,0.042,35.3,-3.3,5,19.7,12,NA,NA,NA,NA,NA,NA
Mendoza,22,1848,2020-09-29,2020-09-09,130,154,1648,46,10,1793,0,0.05,0.065,0.086,118,0.766,12,0.078,6,0.039,33.7,-2.6,5,19.7,13,NA,NA,NA,NA,NA,NA
Mendoza,23,2091,2020-09-29,2020-09-09,141,160,1877,54,10,2028,0,0.047,0.062,0.079,123,0.769,13,0.081,7,0.044,35.5,-3.1,4.8,19.7,14,NA,NA,NA,NA,NA,NA
Mendoza,24,2292,2020-09-29,2020-09-09,149,173,2055,63,10,2219,1,0.042,0.058,0.078,135,0.78,14,0.081,7,0.04,35.1,-2.5,4.6,19.7,15,NA,NA,NA,NA,NA,NA
Mendoza,25,2650,2020-09-29,2020-09-09,158,205,2371,73,11,2567,1,0.04,0.054,0.08,164,0.8,14,0.068,7,0.034,32.5,-1.6,4.6,18.9,16,NA,NA,NA,NA,NA,NA
Mendoza,26,3105,2020-09-29,2020-09-09,169,252,2759,93,11,3002,1,0.032,0.044,0.084,201,0.798,15,0.06,7,0.028,30.8,-1.3,4.3,18.9,17,NA,NA,NA,NA,NA,NA
Mendoza,27,3483,2020-09-29,2020-09-09,176,298,3079,105,13,3368,1,0.032,0.044,0.088,238,0.799,15,0.05,7,0.023,29.4,-0.4,4.3,22.5,18,NA,NA,NA,NA,NA,NA
Mendoza,28,4031,2020-09-29,2020-09-09,184,419,3491,120,15,3900,1,0.028,0.036,0.107,316,0.754,18,0.043,8,0.019,24.4,0.4,4.1,21.7,19,NA,NA,NA,NA,NA,NA
Mendoza,29,4922,2020-09-30,2020-09-14,199,657,4102,162,24,4748,1,0.029,0.037,0.138,428,0.651,24,0.037,9,0.014,20,1.1,4.3,18.5,20,NA,NA,NA,NA,NA,NA
Mendoza,30,6232,2020-09-30,2020-09-14,203,1077,4937,217,42,6003,1,0.032,0.039,0.179,593,0.551,32,0.03,10,0.009,15.9,1.3,4.5,17.1,21,NA,NA,NA,NA,NA,NA
Mendoza,31,7799,2020-09-30,2020-09-18,203,1710,5813,275,66,7504,1,0.033,0.039,0.228,788,0.461,43,0.025,13,0.008,12.6,1.5,4,15.1,22,NA,NA,NA,NA,NA,NA
Mendoza,32,9881,2020-09-30,2020-09-18,204,2519,6953,408,83,9438,1,0.028,0.033,0.267,978,0.388,56,0.022,20,0.008,10.8,2,4.5,15.2,23,NA,NA,NA,NA,NA,NA
Mendoza,33,12855,2020-09-30,2020-09-24,204,3766,8546,542,115,12266,1,0.027,0.031,0.307,1173,0.311,62,0.016,23,0.006,9.5,2.2,4.5,13.7,24,NA,NA,NA,NA,NA,NA
Mendoza,34,16644,2020-09-30,2020-09-24,204,5328,10500,814,152,15743,2,0.025,0.029,0.338,1305,0.245,74,0.014,29,0.005,8.6,2.3,4.6,13,25,NA,NA,NA,NA,NA,NA
Mendoza,35,21936,2020-09-30,2020-09-27,204,7724,13078,1132,182,20614,2,0.021,0.024,0.375,1440,0.186,89,0.012,34,0.004,8,2.7,4.4,12.8,26,NA,NA,NA,NA,NA,NA
Mendoza,36,29040,2020-09-30,2020-09-27,204,11188,16075,1774,220,26956,3,0.017,0.02,0.415,1564,0.14,105,0.009,40,0.004,7.6,3.2,4.6,12.4,27,NA,NA,NA,NA,NA,NA
Mendoza,37,38252,2020-10-01,2020-09-27,205,15971,19937,2341,258,35435,3,0.014,0.016,0.451,1715,0.107,119,0.007,47,0.003,7.4,3.7,4.7,11.9,28,NA,NA,NA,NA,NA,NA
Mendoza,38,47421,2020-10-01,2020-09-27,205,20385,24070,2963,298,43784,3,0.013,0.015,0.466,1813,0.089,137,0.007,54,0.003,7.3,4,4.9,11.5,29,NA,NA,NA,NA,NA,NA
Mendoza,39,55481,2020-10-01,2020-09-29,205,24089,27469,3920,320,50679,3,0.011,0.013,0.475,1857,0.077,142,0.006,58,0.002,7.2,4.2,4.9,11.1,30,NA,NA,NA,NA,NA,NA
Mendoza,40,60794,2020-10-01,2020-09-30,205,25712,29002,6077,326,53479,3,0.01,0.013,0.481,1868,0.073,144,0.006,58,0.002,7.2,4.3,4.9,10.9,31,NA,NA,NA,NA,NA,NA
Misiones,13,18,2020-03-27,2020-03-21,5,1,17,0,0,8,0,0,0,0.125,1,1,0,0,0,0,6,4,NaN,NaN,1,NA,NA,NA,NA,NA,NA
Misiones,14,26,2020-05-19,2020-03-28,11,3,22,1,0,14,0,0,0,0.214,3,1,0,0,0,0,4,3.3,NaN,NaN,2,NA,NA,NA,NA,NA,NA
Misiones,15,67,2020-05-19,2020-04-04,17,3,63,1,0,55,0,0,0,0.055,3,1,0,0,0,0,4,3.3,NaN,NaN,3,NA,NA,NA,NA,NA,NA
Misiones,16,113,2020-05-19,2020-04-15,23,5,107,1,1,101,0,0.167,0.2,0.05,5,1,1,0.2,1,0.2,3.8,3.4,4,10,4,NA,NA,NA,NA,NA,NA
Misiones,17,262,2020-05-19,2020-04-23,27,5,255,2,1,249,0,0.143,0.2,0.02,5,1,1,0.2,1,0.2,3.8,3.4,4,10,5,NA,NA,NA,NA,NA,NA
Misiones,18,436,2020-07-31,2020-04-30,35,23,410,3,1,422,0,0.038,0.043,0.055,21,0.913,1,0.043,1,0.043,3.3,1.9,4,10,6,NA,NA,NA,NA,NA,NA
Misiones,19,605,2020-07-31,2020-05-06,41,24,577,4,1,590,0,0.036,0.042,0.041,21,0.875,1,0.042,1,0.042,3.3,1.9,4,10,7,NA,NA,NA,NA,NA,NA
Misiones,20,746,2020-07-31,2020-05-08,47,24,718,4,1,731,0,0.036,0.042,0.033,21,0.875,1,0.042,1,0.042,3.3,1.9,4,10,8,NA,NA,NA,NA,NA,NA
Misiones,21,875,2020-08-16,2020-05-15,55,24,845,6,1,858,0,0.033,0.042,0.028,21,0.875,1,0.042,1,0.042,3.3,1.9,4,10,9,NA,NA,NA,NA,NA,NA
Misiones,22,1007,2020-08-16,2020-05-28,62,27,974,6,1,990,0,0.03,0.037,0.027,22,0.815,2,0.074,1,0.037,3.5,2.1,2,10,10,NA,NA,NA,NA,NA,NA
Misiones,23,1126,2020-08-16,2020-06-05,68,35,1085,6,1,1109,0,0.024,0.029,0.032,25,0.714,2,0.057,1,0.029,3.1,2,2,10,11,NA,NA,NA,NA,NA,NA
Misiones,24,1269,2020-08-20,2020-06-09,76,36,1225,8,2,1250,0,0.045,0.056,0.029,26,0.722,3,0.083,1,0.028,3.1,2,2,6.5,12,NA,NA,NA,NA,NA,NA
Misiones,25,1411,2020-08-20,2020-06-18,85,37,1366,8,2,1392,0,0.044,0.054,0.027,27,0.73,4,0.108,2,0.054,3.1,2,1.5,6.5,13,NA,NA,NA,NA,NA,NA
Misiones,26,1511,2020-08-20,2020-06-24,90,38,1465,8,2,1492,0,0.043,0.053,0.025,28,0.737,5,0.132,2,0.053,3.5,2.4,3.8,6.5,14,NA,NA,NA,NA,NA,NA
Misiones,27,1605,2020-08-20,2020-06-30,97,39,1557,9,2,1585,0,0.042,0.051,0.025,28,0.718,5,0.128,2,0.051,3.5,2.4,3.8,6.5,15,NA,NA,NA,NA,NA,NA
Misiones,28,1699,2020-08-20,2020-07-07,99,39,1649,11,2,1677,0,0.04,0.051,0.023,28,0.718,5,0.128,2,0.051,3.5,2.4,3.8,6.5,16,NA,NA,NA,NA,NA,NA
Misiones,29,1840,2020-08-20,2020-07-16,110,40,1786,14,2,1815,0,0.037,0.05,0.022,28,0.7,5,0.125,2,0.05,3.9,2.5,3.8,6.5,17,NA,NA,NA,NA,NA,NA
Misiones,30,2062,2020-08-20,2020-07-21,115,40,2005,17,2,2034,0,0.035,0.05,0.02,28,0.7,5,0.125,2,0.05,3.9,2.5,3.8,6.5,18,NA,NA,NA,NA,NA,NA
Misiones,31,2214,2020-08-25,2020-07-30,123,42,2153,19,2,2184,0,0.033,0.048,0.019,29,0.69,5,0.119,2,0.048,4.2,2.9,5,6.5,19,NA,NA,NA,NA,NA,NA
Misiones,32,2421,2020-09-05,2020-08-04,132,43,2354,24,2,2383,0,0.03,0.047,0.018,29,0.674,5,0.116,2,0.047,4.2,2.9,5,6.5,20,NA,NA,NA,NA,NA,NA
Misiones,33,2640,2020-09-18,2020-08-12,139,44,2564,32,3,2592,0,0.039,0.068,0.017,29,0.659,5,0.114,2,0.045,4.2,2.9,5,6.5,21,NA,NA,NA,NA,NA,NA
Misiones,34,2751,2020-09-18,2020-08-21,144,44,2670,37,3,2696,0,0.037,0.068,0.016,29,0.659,5,0.114,2,0.045,4.2,2.9,5,6.5,22,NA,NA,NA,NA,NA,NA
Misiones,35,2995,2020-10-01,2020-08-26,152,48,2904,43,3,2931,0,0.033,0.062,0.016,30,0.625,5,0.104,2,0.042,5.5,3.5,5,6.5,23,NA,NA,NA,NA,NA,NA
Misiones,36,3342,2020-10-01,2020-09-01,155,50,3240,52,3,3256,0,0.029,0.06,0.015,30,0.6,5,0.1,2,0.04,5.5,3.5,5,6.5,24,NA,NA,NA,NA,NA,NA
Misiones,37,3722,2020-10-01,2020-09-11,166,51,3616,55,3,3633,0,0.028,0.059,0.014,30,0.588,5,0.098,2,0.039,5.5,3.5,5,6.5,25,NA,NA,NA,NA,NA,NA
Misiones,38,4068,2020-10-01,2020-09-19,170,58,3951,59,3,3945,0,0.026,0.052,0.015,34,0.586,5,0.086,2,0.034,7.5,5.8,5,6.5,26,NA,NA,NA,NA,NA,NA
Misiones,39,4532,2020-10-01,2020-09-27,175,70,4399,63,3,4351,0,0.023,0.043,0.016,36,0.514,5,0.071,2,0.029,14.2,12.5,5,6.5,27,NA,NA,NA,NA,NA,NA
Misiones,40,4748,2020-10-01,2020-09-29,176,94,4586,68,3,4520,0,0.019,0.032,0.021,40,0.426,6,0.064,2,0.021,14.4,12.8,5,6.5,28,NA,NA,NA,NA,NA,NA
Neuquén,12,31,2020-05-13,2020-03-19,9,3,27,1,0,26,0,0,0,0.115,3,1,0,0,0,0,4.7,2,NaN,NaN,1,NA,NA,NA,NA,NA,NA
Neuquén,13,95,2020-07-01,2020-03-26,20,17,76,2,3,87,0,0.158,0.176,0.195,10,0.588,2,0.118,2,0.118,13.5,5.2,5.5,37,2,NA,NA,NA,NA,NA,NA
Neuquén,14,216,2020-07-01,2020-04-10,29,49,165,2,5,207,0,0.098,0.102,0.237,28,0.571,2,0.041,2,0.041,9.7,5.9,5.5,24.6,3,NA,NA,NA,NA,NA,NA
Neuquén,15,390,2020-07-01,2020-04-10,41,90,298,2,5,380,0,0.054,0.056,0.237,60,0.667,2,0.022,2,0.022,9.7,6.2,5.5,24.6,4,NA,NA,NA,NA,NA,NA
Neuquén,16,518,2020-07-01,2020-04-17,45,100,416,2,6,508,0,0.059,0.06,0.197,68,0.68,3,0.03,3,0.03,9.6,6.4,4.7,22.7,5,NA,NA,NA,NA,NA,NA
Neuquén,17,683,2020-07-01,2020-04-24,49,107,574,2,6,672,0,0.055,0.056,0.159,74,0.692,3,0.028,3,0.028,9.5,6.4,4.7,22.7,6,NA,NA,NA,NA,NA,NA
